kill assist \ team kill,0,1,2,3,4,5,6,7,8,9,10
0,0,0,1,1,1,1,1,1,1,1,1
1,1,1,2,2,2,2,2,2,2,2,2
2,2,2,3,3,3,3,3,3,3,3,3
3,3,3,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,5,5,5,5,5,5
5,5,5,5,5,5,5,5,6,6,6,6
6,5,6,6,6,6,6,6,6,6,6,6
7,5,6,6,6,6,6,6,6,6,6,6
8,6,6,6,6,6,6,6,6,7,7,7
9,6,6,6,6,6,6,7,7,7,7,7
10,6,6,6,7,7,7,7,7,7,7,7
11,6,7,7,7,7,7,7,7,7,7,7
12,6,7,7,7,7,7,7,7,7,7,7
13,7,7,7,7,7,7,7,7,8,8,8
14,7,7,7,7,7,7,8,8,8,8,8
15,7,7,7,8,8,8,8,8,8,8,8
16,7,8,8,8,8,8,8,8,8,8,8
17,7,8,8,8,8,8,8,8,8,8,8
18,8,8,8,8,8,8,8,8,9,9,9
19,8,8,8,8,8,8,9,9,9,9,9
20,8,8,8,9,9,9,9,9,9,9,9
